id,area,area.name,pc.area. name,region,population,lenders,borrowers,avg.loan,avg.borr,median.loan,median.borr,min.loan,max.loan,min.borr,max.borr,sd.loan,sd.borr,total.loan,total.borr,loan.parts,borr.parts
AB,AB,Aberdeen,Aberdeen,Scotland,569100,396,650,7553.06061,5929.28154,1410.00,4530.00,10,344270,159,99100,22544.63168,7348.97162,2991012,3854033,114340,160492
AL,AL,St Albans,St Albans,East of England,251946,401,220,9017.55112,7593.35909,1840.00,4600.00,10,313950,91,200180,27061.99456,16756.02438,3616038,1670539,125891,59343
B,B,Birmingham,Birmingham,West Midlands,1846552,962,1422,6118.99272,6907.44444,880.00,4172.00,10,504722,18,163220,23364.22310,12892.18929,5886471,9822386,205461,333139
BA,BA,Bath,Bath,South West,435165,458,396,7698.07860,6267.26515,1835.00,4134.00,10,217590,98,99300,18202.15001,10906.19048,3525720,2481837,144256,88077
BB,BB,Blackburn,Blackburn,North West,480332,215,495,7106.73023,6476.93131,1090.00,4130.00,10,357700,455,99740,28447.10543,11836.29984,1527947,3206081,51687,111327
BD,BD,Bradford,Bradford,North West,568501,238,513,6518.12605,5942.45809,900.00,4130.00,10,150900,199,98020,16319.77477,10312.11357,1551314,3048481,59789,117257
BH,BH,Bournemouth,Bournemouth,South West,531307,515,469,9151.71456,6238.03838,1200.00,4130.00,10,436560,432,58660,30887.65974,8269.34546,4713133,2925640,152575,110606
BL,BL,Bolton,Bolton,North West,368735,215,406,5568.72093,6077.65025,1000.00,4149.00,10,201060,4,131800,18641.13883,11615.44000,1197275,2467526,46681,91153
BN,BN,Brighton,Brighton,South East,782231,791,742,8460.52212,6931.69677,1500.00,4190.00,10,325600,380,99120,26021.51190,10769.84796,6692273,5143319,264622,178565
BR,BR,Bromley,Bromley,London,301681,344,267,6415.92151,6683.11611,1320.00,4441.00,10,253340,543,98900,19806.15021,8864.66066,2207077,1784392,89326,61142
BS,BS,Bristol,Bristol,South West,964970,868,991,8782.45507,5600.16044,1300.00,4130.00,10,843075,137,246840,36844.38561,9867.92646,7623171,5549759,249578,231297
BT,BT,Northern Ireland,Northern Ireland,Northern Ireland,1811000,613,1301,4121.80587,5374.99385,840.00,4130.00,10,90080,186,98720,10473.55226,7364.98549,2526667,6992867,104697,281232
CA,CA,Carlisle,Carlisle,North West,311126,180,409,8494.94444,5033.94132,1540.00,4130.00,10,258236,349,73540,24806.93794,5934.40600,1529090,2058882,52852,88547
CB,CB,Cambridge,Cambridge,East of England,420107,593,401,8538.78415,6323.25935,1640.00,4180.00,10,595107,238,98600,37449.27263,10010.54271,5063499,2535627,184956,93412
CF,CF,Cardiff,Cardiff,Wales,988650,509,1020,4319.99411,5734.13628,990.00,4140.00,10,142129,9,99780,12232.88008,9869.83493,2198877,5848819,102319,232073
CH,CH,Chester,Chester,Wales,643244,437,795,7194.72998,5426.91950,1120.00,4130.00,10,376711,41,245360,24888.54560,11040.45608,3144097,4314401,113800,175396
CM,CM,Chelmsford,Chelmsford,East of England,655328,680,656,10443.07647,6436.42835,1540.00,4213.00,10,924579,89,99500,51557.33477,8838.83049,7101292,4222297,228649,158510
CO,CO,Colchester,Colchester,East of England,427668,301,375,10725.07309,6121.50667,1140.00,4168.00,10,368387,279,98860,32693.96572,10126.18690,3228247,2295565,86742,85472
CR,CR,Croydon,Croydon,London,396706,368,247,7541.64674,9114.35223,1600.00,5000.00,10,168412,169,196460,18813.21028,19418.61916,2775326,2251245,105637,64042
CT,CT,Canterbury,Canterbury,South East,471705,334,359,5581.85030,6751.41504,1185.00,4130.00,10,109650,220,495840,12004.08927,26898.00910,1864338,2423758,87271,82032
CV,CV,Coventry,Coventry,West Midlands,811435,630,858,6381.85714,6361.65268,1145.00,4130.00,10,368650,162,99840,22185.01700,11144.85473,4020570,5458298,170465,204595
CW,CW,Crewe,Crewe,North West,307881,257,364,5246.56420,5239.99451,1250.00,4172.00,10,105401,247,49720,10658.10189,5133.73359,1348367,1907358,63877,83876
DA,DA,Dartford,Dartford,London,421617,268,386,8769.72761,6405.05181,1005.00,4156.50,10,937686,110,98640,58491.86895,10245.63267,2350287,2472350,71961,89425
DD,DD,Dundee,Dundee,Scotland,679900,138,311,4456.28986,4935.72669,1135.00,4130.00,10,52420,331,49780,8447.98670,4997.52484,614968,1535011,28830,68102
DE,DE,Derby,Derby,East Midlands,721521,529,709,4791.39319,5734.13399,1040.00,4110.00,10,142980,211,99340,12038.57966,9489.15205,2534647,4065501,115317,153124
DG,DG,Dumfries,Dumfries,Scotland,184300,61,146,6135.32787,3975.97260,1200.00,3436.00,10,89149,131,15130,15343.23427,2519.07106,374255,580492,16062,29320
DH,DH,Durham,Durham,North East,310624,153,362,5671.46405,6141.36464,1080.00,4158.50,10,90839,466,99260,12859.29311,8933.04482,867734,2223174,46455,82755
DL,DL,Darlington,Darlington,North East,353752,224,415,4672.73214,5776.72771,1080.00,4124.00,10,110640,106,208160,10702.69210,12725.30564,1046692,2397342,55686,92960
DN,DN,Doncaster,Doncaster,Yorkshire and The Humber,736560,310,901,5840.00968,5423.34628,1140.00,4130.00,10,216540,309,313500,17277.30017,12255.58676,1810403,4886435,66905,205871
DT,DT,Dorchester,Dorchester,South West,206169,205,177,7107.42439,5571.95480,2020.00,4130.00,10,112320,251,78200,15099.39793,7793.84951,1457022,986236,62818,38838
DY,DY,Dudley,Dudley,West Midlands,405844,185,387,7240.00000,6792.23514,1420.00,4160.00,10,379360,166,99280,30439.69303,11999.25915,1339400,2628595,46695,87229
E,E,London,East London,London,859148,804,440,6857.23632,8766.24091,1180.00,5000.00,10,360950,88,145940,22846.97675,15715.13771,5513218,3857146,200464,108597
EC,EC,London,East Central London,London,37027,98,40,44524.64286,37986.75000,1770.00,24420.00,10,2548400,2591,99680,260315.75110,34864.17945,4363415,1519470,53703,22195
EH,EH,Edinburgh,Edinburgh,Scotland,948500,754,957,6276.32361,5752.15152,1220.00,4162.00,10,118149,20,99480,13764.87975,8349.99853,4732348,5504809,201808,223612
EN,EN,Enfield,Enfield,London,339109,284,239,7853.56338,8677.57741,1120.00,5000.00,10,186881,224,99440,21776.22075,15691.27260,2230412,2073941,68750,61606
EX,EX,Exeter,Exeter,South West,548587,501,450,9500.34731,6314.92444,1520.00,4095.00,10,422773,127,239160,28909.28469,15710.72065,4759674,2841716,171584,105669
FK,FK,Falkirk,Falkirk,Scotland,156000,153,426,3384.44444,4790.55634,1060.00,4145.00,10,27280,169,93080,5555.94109,5534.26698,517820,2040777,33332,90421
FY,FY,Blackpool,Blackpool,North West,277679,127,282,6572.40157,6128.32979,1360.00,4125.00,10,139760,114,99440,17484.29939,11346.70897,834695,1728189,48530,60652
G,G,Glasgow,Glasgow,Scotland,1791000,557,1290,6025.85817,5596.95349,990.00,4190.00,10,330910,27,99640,22044.50949,7787.34148,3356403,7220070,138889,298248
GL,GL,Gloucester,Gloucester,South West,601761,665,708,8069.29774,6902.00283,1484.00,4190.00,10,431190,198,126820,24231.08303,10844.88158,5366083,4886618,205583,162565
GU,GU,Guildford,Guildford,South East,715808,1093,738,8560.21592,7749.93225,1970.00,5030.00,10,367900,200,99860,23682.01784,12353.07036,9356316,5719450,335851,196684
HA,HA,Harrow,Harrow,London,452055,488,201,6822.65779,11350.48259,1190.00,5060.00,10,321671,189,99540,20161.35909,19363.28287,3329457,2281447,109757,57305
HD,HD,Huddersfield,Huddersfield,North West,253521,188,308,4961.89894,5701.45779,1005.00,4130.00,10,107120,372,98780,11470.06344,8331.92647,932837,1756049,40107,70951
HG,HG,Harrogate,Harrogate,Yorkshire and The Humber,139424,153,136,8782.08497,7575.27941,2106.00,4175.50,20,104520,205,99720,17338.96116,13724.31649,1343659,1030238,62089,35726
HP,HP,Hemel Hempstead,Hemel Hempstead,East of England,478500,629,460,11802.68839,8285.25435,2170.00,4745.50,10,1142160,134,99760,60610.34583,15034.94630,7423891,3811217,238421,121347
HR,HR,Hereford,Hereford,West Midlands,172103,160,121,9506.68750,5945.21488,1790.00,4130.00,10,413362,249,59620,36197.96210,7824.83203,1521070,719371,55059,26011
HS,HS,Outer Hebrides,Outer Hebrides,Scotland,27700,13,36,6017.92308,4690.80556,2420.00,4232.00,120,27360,1310,12130,8511.87060,2125.23900,78233,168869,3911,8807
HU,HU,Hull,Hull,Yorkshire and The Humber,453188,223,424,4673.97758,5219.57783,1040.00,4130.00,10,62450,146,98200,9591.71516,7249.22115,1042297,2213101,51949,92140
HX,HX,Halifax,Halifax,North West,160126,112,190,5444.70536,4585.10526,930.00,4080.00,10,181780,417,44780,18542.57256,3911.84691,609807,871170,34312,40457
IG,IG,Ilford,Ilford,London,325064,208,143,6062.58173,8543.29371,1025.00,5080.00,10,213090,214,97880,18507.87046,13839.04997,1261017,1221691,50685,41906
IP,IP,Ipswich,Ipswich,East of England,588143,510,644,7255.96863,5217.38975,1380.00,4174.50,10,511950,49,99080,28402.66774,6119.68940,3700544,3359999,140273,151522
IV,IV,Inverness,Inverness,Scotland,232100,172,269,7571.87209,4833.63941,1160.00,4130.00,10,202876,168,39680,21740.67513,3970.07352,1302362,1300249,41036,58125
KA,KA,Kilmarnock,Kilmarnock,Scotland,373700,161,433,4846.65217,5250.53118,980.00,4130.00,10,67990,259,239420,11079.40098,12116.43708,780311,2273480,29655,93975
KT,KT,Kingston Upon Thames,Kingston upon Thames,London,539198,756,454,11471.78042,7773.41189,1810.00,5100.00,10,630060,491,99380,38126.58855,9429.53965,8672666,3529129,262635,129945
KW,KW,Kirkwall,Kirkwall,Scotland,21400,36,81,4333.69444,5858.67901,1240.00,4130.00,20,50760,1018,54360,9903.20893,6752.63452,156013,474553,5257,18164
KY,KY,Kirkcaldy,Kirkcaldy,Scotland,49560,184,466,5720.74457,5020.77682,1180.00,4130.00,10,105310,88,78220,14037.57366,5507.42390,1052617,2339682,41234,102081
L,L,Liverpool,Liverpool,North West,838201,344,798,5240.32558,5475.66541,935.00,4100.00,10,207654,341,99740,17797.63779,9355.05140,1802672,4369581,71678,169334
LA,LA,Lancaster,Lancaster,North West,333337,244,381,11694.12295,7080.37795,1985.00,4180.00,10,312958,428,98940,34326.70758,13332.61972,2853366,2697624,91527,90580
LD,LD,Llandrindod Wells,Llandrindod Wells,Wales,49351,40,25,6852.37500,6809.20000,2260.00,4140.00,60,64610,2070,49740,13804.33770,9596.84914,274095,170230,8039,5932
LE,LE,Leicester,Leicester,East Midlands,962244,707,1001,6333.10042,6481.52548,1180.00,4130.00,10,217460,174,99800,18350.04071,10943.07925,4477502,6488007,184363,230974
LL,LL,Llandudno,Llandudno,Wales,530557,278,532,6998.72302,5269.33835,1270.00,4105.00,10,142600,88,145040,18314.63453,9047.63306,1945645,2803288,69410,115142
LN,LN,Lincoln,Lincoln,East of England,289557,210,323,6757.46190,5267.53251,1690.00,4130.00,10,86560,376,99800,13059.45108,8084.00619,1419067,1701413,59155,71328
LS,LS,Leeds,Leeds,Yorkshire and The Humber,819921,641,820,5169.66771,6464.90610,1320.00,4160.00,10,163370,103,294280,11578.31180,13925.17974,3313757,5301223,165199,200990
LU,LU,Luton,Luton,East of England,330377,236,284,8716.35593,5627.59155,1050.00,4130.00,10,586224,348,98640,42217.78438,8775.83620,2057060,1598236,73186,62918
M,M,Manchester,Manchester,North West,1148507,649,1126,5806.89060,6414.54707,1020.00,4190.00,10,262788,203,99900,18133.17231,10984.05873,3768672,7222780,159325,261499
ME,ME,Medway,Rochester,South East,591099,395,606,8510.64051,5031.10726,1200.00,4130.00,10,767990,96,54300,41704.15703,4865.64951,3361703,3048851,139666,128103
MK,MK,Milton Keynes,Milton Keynes,South East,506179,485,502,6689.52371,6692.42430,1350.00,4440.00,10,109300,252,98800,14679.44765,10121.46984,3244419,3359597,124531,123031
ML,ML,Motherwell,Motherwell,Scotland,59000,102,434,6039.06863,4979.83410,1015.00,4130.00,10,228313,130,99260,24830.38966,7237.71092,615985,2161248,18753,97961
N,N,London,North London,London,778393,1044,364,7597.94540,9678.25550,1360.00,5014.00,10,400440,111,247760,21149.94261,19070.27517,7932255,3522885,307752,101075
NE,NE,Newcastle Upon Tyne,Newcastle upon Tyne,North East,1167748,579,1286,6396.72366,5918.51322,1010.00,4130.00,10,158160,94,99940,15505.05148,9792.48143,3703703,7611208,176694,286411
NG,NG,Nottingham,Nottingham,East Midlands,1158258,802,1228,5177.04239,6721.79072,1045.00,4135.00,10,140470,136,99620,13875.84696,12264.31470,4151988,8254359,184769,290020
NN,NN,Northampton,Northampton,East Midlands,647692,457,714,6744.44420,6624.60504,1000.00,4181.00,10,352111,183,99740,22421.50453,11676.95490,3082211,4729968,125309,174669
NP,NP,Newport,Newport,Wales,475880,227,515,5273.29956,6453.36893,1300.00,4174.00,10,97998,140,99780,12337.30325,11749.41430,1197039,3323485,58186,123321
NR,NR,Norwich,Norwich,East of England,732703,487,688,9241.19507,5165.66424,1210.00,4115.00,10,386223,142,98680,29750.96832,7399.74984,4500462,3553977,124341,148416
NW,NW,London,North West London,London,530231,702,185,9605.62108,10902.25946,1760.00,5228.00,10,486610,146,99200,28222.46355,15764.84782,6743146,2016918,258156,51906
OL,OL,Oldham,Oldham,North West,450773,198,483,4322.03535,5352.28986,830.00,4110.00,10,77885,214,83680,11716.11370,7561.52383,855763,2585156,39595,105708
OX,OX,Oxford,Oxford,South East,610399,826,643,9469.04237,8166.38258,1525.00,5010.00,10,422146,100,197140,29338.03936,14494.24583,7821429,5250984,268808,160634
PA,PA,Paisley,Paisley,Scotland,174900,142,383,4844.57042,4825.65274,1105.00,4130.00,10,138810,90,99600,13951.68254,5995.95605,687929,1848225,33401,81301
PE,PE,Peterborough,Peterborough,East of England,862913,608,956,6790.27138,6621.40167,1000.00,4200.00,10,274427,135,194920,19806.09971,11047.16700,4128485,6330060,154422,226874
PH,PH,Perth,Perth,Scotland,146700,127,216,8281.74803,5215.84259,1210.00,4130.00,10,343037,686,49520,31853.84118,5799.92401,1051782,1126622,28807,42296
PL,PL,Plymouth,Plymouth,South West,546732,393,503,8549.96183,5717.65209,1260.00,4130.00,10,410640,98,198740,29297.75352,11928.80764,3360135,2875979,147361,113806
PO,PO,Portsmouth,Portsmouth,South East,820645,649,746,7564.94299,6524.60858,1450.00,4149.50,10,486724,107,99240,25030.60079,10056.92434,4909648,4867358,208164,172914
PR,PR,Preston,Preston,North West,514167,386,581,10093.84715,5144.32702,1210.00,4130.00,10,520369,131,69520,40029.65031,5962.64777,3896225,2988854,99161,123394
RG,RG,Reading,Reading,South East,784471,1125,811,7624.15822,7636.66585,1640.00,4990.00,10,347521,182,99600,21276.98198,11752.61762,8577178,6193336,340965,204331
RH,RH,Redhill,Redhill,South East,527311,691,527,7945.40810,8116.96964,1670.00,4670.00,10,232060,241,242680,20685.27745,19006.66339,5490277,4277643,221946,130699
RM,RM,Romford,Romford,London,512996,273,343,4731.77656,5024.65598,840.00,4130.00,10,206304,246,92420,15475.96927,5855.95005,1291775,1723457,53874,75936
S,S,Sheffield,Sheffield,Yorkshire and The Humber,1349455,704,1490,6437.89063,5174.15168,1260.00,4130.00,10,359660,169,99580,20719.19907,7192.24185,4532275,7709486,198129,328837
SA,SA,Swansea,Swansea,Wales,714243,342,662,4959.69591,5737.30816,1000.00,4130.00,10,84290,171,99820,10423.67825,9856.48145,1696216,3798098,83047,149427
SE,SE,London,South East London,London,943075,1194,617,7875.34757,7794.47326,1340.00,5060.00,10,597270,142,139440,27781.61618,11853.02392,9403165,4809190,337248,163679
SG,SG,Stevenage,Stevenage,East of England,400283,440,430,8740.25909,6354.47907,1520.00,4190.00,10,1121815,134,99040,55126.83047,9675.92959,3845714,2732426,119710,101983
SK,SK,Stockport,Stockport,North West,602141,528,697,7727.71402,7080.76184,1255.00,4130.00,10,312627,134,99000,22654.04385,12240.43561,4080233,4935291,160235,165983
SL,SL,Slough,Slough,South East,365350,436,284,9896.50459,9253.77113,1540.00,5010.00,10,180598,372,99540,23897.60992,15710.56171,4314876,2628071,149113,72035
SM,SM,Sutton,Sutton,London,221412,186,184,4692.95161,6435.00544,1205.00,4325.50,10,91670,1130,99320,10641.54567,9015.42067,872889,1184041,37485,42876
SN,SN,Swindon,Swindon,South West,444227,471,509,6808.90446,6330.33792,1200.00,4190.00,10,215740,95,99560,18167.00683,9506.95825,3206994,3222142,130803,118407
SO,SO,Southampton,Southampton,South East,662974,700,644,8452.98143,6749.08230,1850.00,4130.00,10,325420,142,99600,23937.97786,11757.77945,5917087,4346409,226481,153067
SP,SP,Salisbury,Salisbury,South West,225342,244,261,7234.82787,7042.55172,1510.00,4190.00,10,143979,375,99520,15251.91972,11219.80882,1765298,1838106,74222,61531
SR,SR,Sunderland,Sunderland,North East,255853,60,245,4364.98333,5564.41633,775.00,4130.00,10,62380,174,99620,9436.93532,9584.42915,261899,1363282,9837,53132
SS,SS,Southend-On-Sea,Southend-on-Sea,East of England,513160,298,502,6908.68121,6070.33068,1000.00,4141.50,10,371515,348,98860,25872.38404,10022.99146,2058787,3047306,79324,114301
ST,ST,Stoke-On-Trent,Stoke-on-Trent,West Midlands,628806,332,724,7307.52108,4992.69337,1160.00,4000.00,10,409100,174,98680,28986.19571,6914.17131,2426097,3614710,67155,149250
SW,SW,London,South West London,London,867059,1484,552,9993.86456,8092.78442,1890.00,5030.00,10,603599,95,102340,28735.44630,12372.60240,14830895,4467217,458309,121085
SY,SY,Shrewsbury,Shrewsbury,Wales,331418,312,321,7768.19231,6532.18069,1470.00,4210.00,10,402920,123,99720,28376.53223,10734.47924,2423676,2096830,101739,75457
TA,TA,Taunton,Taunton,South West,319338,245,285,6321.91020,5783.94035,1180.00,4120.00,10,82250,248,89980,12064.59608,7929.86510,1548868,1648423,75767,63943
TD,TD,Galashiels,Galashiels,Scotland,17709,53,114,7210.43396,4938.51754,2040.00,4035.00,40,46570,660,48920,11440.66571,6473.99525,382153,562991,20101,23063
TF,TF,Telford,Telford,West Midlands,205961,129,217,7162.55814,5652.52995,1280.00,4130.00,10,215850,383,98520,22237.06749,9541.45946,923970,1226599,44184,48360
TN,TN,Tonbridge,Tonbridge,South East,662572,695,625,7657.82590,7893.91680,1510.00,4702.00,10,253390,81,99320,21171.06837,12603.52154,5322189,4933698,208663,160110
TQ,TQ,Torquay,Torquay,South West,286331,242,193,9439.54959,5752.48705,1830.00,4130.00,10,476640,332,49520,35326.95622,6426.94981,2284371,1110230,82191,44890
TR,TR,Truro,Truro,South West,296299,185,241,7913.77838,6061.63486,1590.00,4130.00,10,146153,168,99900,17914.02193,11555.88081,1464049,1460854,55448,56641
TS,TS,Cleveland,Cleveland,North East,608368,231,666,9629.39394,5487.70571,1610.00,4100.00,10,220216,72,297120,26018.58943,13072.35316,2224390,3654812,70558,151689
TW,TW,Twickenham,Twickenham,London,482270,597,348,8963.64322,7407.38506,1400.00,4396.50,10,241560,169,99880,23519.13731,11397.55182,5351295,2577770,187509,85952
UB,UB,Uxbridge,Southall,London,355818,203,148,6857.72906,8728.58784,900.00,5030.00,10,167690,432,99840,18701.41543,14865.93780,1392119,1291831,52508,40264
W,W,London,West London,London,521905,872,237,15352.16514,13616.06751,2310.00,6090.00,10,696379,87,150780,50740.79307,20559.93567,13387088,3227008,368093,66543
WA,WA,Warrington,Warrington,North West,603388,424,756,5292.43632,5623.43122,1015.00,4139.00,10,268780,333,99020,16412.13090,7649.11611,2243993,4251314,103603,174843
WC,WC,London,Western Central London,London,39888,50,20,6432.16000,24178.60000,845.00,13973.00,20,68340,2068,58300,14454.18130,20820.04548,321608,483572,18985,6814
WD,WD,Watford,Watford,London,254086,302,218,7634.47020,11146.41743,1120.00,5055.00,10,659710,688,219980,39725.43107,26938.98454,2305610,2429919,68322,64755
WF,WF,Wakefield,Wakefield,Yorkshire and The Humber,510510,217,572,9149.52074,4927.94231,1007.00,4130.00,10,633300,126,99940,51706.14385,6173.32267,1985446,2818783,43596,125098
WN,WN,Wigan,Wigan,North West,300983,128,383,7298.77344,5912.16971,765.00,4120.00,10,413874,262,99400,38296.75236,10482.11253,934243,2264361,21004,84969
WR,WR,Worcester,Worcester,West Midlands,283873,290,277,11905.61379,6645.67148,1550.00,4220.00,10,384236,786,58940,35246.27220,8535.72735,3452628,1840851,121825,65805
WS,WS,Walsall,Walsall,West Midlands,431689,184,416,3834.57065,6549.21635,825.00,4117.50,10,81309,253,99480,10467.89216,12692.91810,705561,2724474,29873,95548
WV,WV,Wolverhampton,Wolverhampton,West Midlands,382643,190,325,4902.18421,5976.88923,930.00,4100.00,10,101743,108,98760,12137.28143,11359.92093,931415,1942489,43140,71922
YO,YO,York,York,Yorkshire and The Humber,569573,444,574,7797.04505,5436.75610,1690.00,4130.00,10,273060,149,97740,21227.66007,7018.37983,3461888,3120698,131528,126891
ZE,ZE,Shetland Islands,Shetland Islands,Scotland,23200,25,24,20987.36000,4871.04167,1740.00,4345.00,100,354857,905,15130,70640.40731,2972.52701,524684,116905,7195,5974
