Population Lender,Region lender,Region borrower,Total loan amount,Average loan rate,Average loan term,Start date,End date,Loan parts,Number borrowers,Number lenders
4537400,East Midlands,South East,2345638,6.516200811,39.52457479,06-06-12,08-09-15,93159,6419,2368
4537400,East Midlands,North West,1734419,6.563287598,39.49381359,29-05-12,28-08-15,77215,5871,2264
4537400,East Midlands,Scotland,1382597,6.453555473,38.60990736,15-05-12,26-07-15,67130,5043,2137
4537400,East Midlands,Yorkshire and The Humber,1350242,6.429185893,39.34273125,20-05-12,16-08-15,63998,4941,2178
4537400,East Midlands,London,1931601,6.601201916,38.57575949,29-05-12,30-07-15,70745,4404,2333
4537400,East Midlands,South West,1358018,6.495709536,39.3013362,30-05-12,23-08-15,57652,4277,2178
4537400,East Midlands,East of England,1253465,6.586130118,39.67735601,19-05-12,29-08-15,55078,3987,2133
4537400,East Midlands,West Midlands,1253462,6.570098101,39.18671624,01-06-12,27-08-15,52335,3839,2169
4537400,East Midlands,East Midlands,1082239,6.565468708,39.36722212,29-05-12,31-08-15,44505,3284,2100
4537400,East Midlands,Wales,942027,6.5110865,39.80786462,20-05-12,29-08-15,41857,3166,2051
4537400,East Midlands,North East,717833,6.397893245,38.43687916,01-06-12,03-08-15,31898,2420,1956
4537400,East Midlands,Northern Ireland,313874,6.358091999,39.93629691,03-07-12,18-10-15,13341,1044,1486
5862400,East of England,South East,5571834,6.040709065,36.51000687,16-05-12,11-05-15,173265,6827,3854
5862400,East of England,North West,4176652,6.065766062,36.64607,23-05-12,26-05-15,143650,6241,3719
5862400,East of England,Scotland,3265778,5.986742231,35.94895589,15-05-12,02-05-15,125428,5331,3539
5862400,East of England,Yorkshire and The Humber,3144891,6.145524153,37.42749634,12-05-12,09-06-15,119625,5162,3581
5862400,East of England,London,4882314,5.996284339,34.83558515,08-05-12,26-02-15,130449,4779,3782
5862400,East of England,South West,3144042,6.065077198,36.60322003,16-05-12,21-05-15,107657,4505,3597
5862400,East of England,East of England,3017567,6.062810469,36.79871334,13-05-12,10-05-15,102523,4214,3552
5862400,East of England,West Midlands,2906871,5.998023843,36.28730976,27-05-12,19-05-15,96395,4100,3571
5862400,East of England,East Midlands,2540988,6.11626319,37.05299294,17-05-12,02-06-15,82418,3453,3467
5862400,East of England,Wales,2179792,6.138689516,37.32547974,14-05-12,30-05-15,78196,3337,3421
5862400,East of England,North East,1694655,6.07940036,36.90739068,26-05-12,02-06-15,59593,2560,3291
5862400,East of England,Northern Ireland,717684,5.917417937,35.97015411,30-05-12,09-05-15,25109,1110,2625
8204400,London,South East,14754875,6.276365134,37.32944905,27-04-12,09-05-15,441177,7314,9352
8204400,London,North West,10746336,6.296525681,37.8642666,09-05-12,19-06-15,363818,6578,8935
8204400,London,Scotland,8368098,6.176727563,37.00912854,01-05-12,17-05-15,319176,5710,8491
8204400,London,Yorkshire and The Humber,8308033,6.319624494,38.16614268,28-04-12,15-06-15,305904,5497,8640
8204400,London,London,12715278,6.19168011,35.72015989,23-04-12,09-03-15,331456,5146,9200
8204400,London,South West,8026654,6.280344461,37.73555812,08-05-12,12-06-15,272639,4808,8631
8204400,London,East of England,7583354,6.314654326,37.87767638,28-04-12,03-06-15,258611,4475,8508
8204400,London,West Midlands,7598439,6.285848383,37.41351613,06-05-12,30-05-15,245993,4360,8559
8204400,London,East Midlands,6459724,6.309460697,38.04153717,01-05-12,18-06-15,208347,3664,8282
8204400,London,Wales,5752434,6.33358792,38.4130105,02-05-12,30-06-15,199262,3544,8252
8204400,London,North East,4441576,6.227389983,37.64407007,12-05-12,08-06-15,150999,2749,7881
8204400,London,Northern Ireland,1779919,6.189357539,37.37579154,16-05-12,02-06-15,63777,1179,6297
2596400,North East,South East,1243873,6.55961864,39.81470977,11-05-12,21-08-15,49268,6182,1093
2596400,North East,North West,906671,6.587016526,39.96141542,06-05-12,27-08-15,41737,5685,1051
2596400,North East,Scotland,693511,6.620016349,39.99351815,08-05-12,31-08-15,36749,4853,989
2596400,North East,Yorkshire and The Humber,690172,6.722536447,40.83324484,04-05-12,24-09-15,35290,4760,1003
2596400,North East,London,1071738,6.607508886,38.29676017,09-05-12,01-07-15,36410,4233,1056
2596400,North East,South West,706912,6.608884924,40.28356996,11-05-12,02-09-15,30974,4118,997
2596400,North East,East of England,614205,6.744884931,40.96726384,04-05-12,22-09-15,29666,3834,1004
2596400,North East,West Midlands,628509,6.586099164,39.80862324,10-05-12,01-09-15,27585,3718,990
2596400,North East,East Midlands,528270,6.6565658,40.42292624,16-05-12,02-10-15,23882,3172,963
2596400,North East,Wales,499775,6.758458234,41.05360391,01-05-12,19-09-15,22772,3055,967
2596400,North East,North East,377020,6.654755061,40.73432811,17-05-12,01-10-15,17652,2325,928
2596400,North East,Northern Ireland,143762,6.461698709,40.07680145,03-06-12,01-09-15,7245,1010,735
7056000,North West,South East,4192762,6.413245905,39.25540443,25-05-12,17-08-15,141276,6562,3377
7056000,North West,North West,3034572,6.505517997,39.35900814,13-05-12,12-08-15,116088,5976,3262
7056000,North West,Scotland,2364109,6.30866488,38.42704001,14-05-12,21-07-15,100938,5157,3068
7056000,North West,Yorkshire and The Humber,2321100,6.393388431,39.2184913,14-05-12,10-08-15,96977,5040,3140
7056000,North West,London,3452080,6.463195477,37.76586052,11-05-12,17-06-15,104918,4490,3310
7056000,North West,South West,2198661,6.501452867,39.59297917,14-05-12,18-08-15,87089,4353,3126
7056000,North West,East of England,2111984,6.413225836,39.78115899,09-05-12,15-08-15,82715,4085,3082
7056000,North West,West Midlands,2074845,6.444177929,38.99559883,23-05-12,08-08-15,78345,3934,3079
7056000,North West,East Midlands,1773710,6.562604981,39.78337988,15-05-12,29-08-15,66586,3331,2987
7056000,North West,Wales,1528435,6.462478221,39.83841294,12-05-12,27-08-15,63125,3220,2977
7056000,North West,North East,1215997,6.466708456,39.48726658,26-05-12,01-09-15,48423,2464,2843
7056000,North West,Northern Ireland,534488,6.311963542,38.40184942,03-06-12,05-08-15,20320,1078,2243
1806900,Northern Ireland,South East,378503,6.4938706,38.5731023,05-06-12,28-07-15,14809,4988,523
1806900,Northern Ireland,North West,282502,6.53813503,39.21036135,16-06-12,25-09-15,12060,4504,499
1806900,Northern Ireland,Scotland,214199,6.42217016,38.62720842,11-06-12,02-09-15,10501,3904,466
1806900,Northern Ireland,Yorkshire and The Humber,217744,6.513655964,38.7745417,25-05-12,24-08-15,9753,3753,470
1806900,Northern Ireland,London,320520,6.699767405,38.34547641,01-06-12,10-08-15,11101,3450,502
1806900,Northern Ireland,South West,210116,6.589380329,39.91187946,14-06-12,30-09-15,8902,3263,460
1806900,Northern Ireland,East of England,209193,6.570725457,39.59511586,08-06-12,28-09-15,8613,3089,465
1806900,Northern Ireland,West Midlands,207733,6.588309606,38.93529615,18-06-12,09-09-15,8278,2971,466
1806900,Northern Ireland,East Midlands,167270,6.648509425,38.7583372,10-05-12,10-08-15,7005,2499,441
1806900,Northern Ireland,Wales,155717,6.447114491,38.68997865,02-06-12,03-08-15,6438,2426,453
1806900,Northern Ireland,North East,112201,6.673378835,39.68236079,06-06-12,19-09-15,5065,1871,413
1806900,Northern Ireland,Northern Ireland,50969,6.407906371,38.12213342,21-06-12,23-07-15,2172,795,330
5254800,Scotland,South East,2946097,6.532731409,39.14172171,14-05-12,07-08-15,106135,6489,2704
5254800,Scotland,North West,2162910,6.493089742,38.89062879,14-05-12,04-08-15,88047,5924,2604
5254800,Scotland,Scotland,1719886,6.397613072,37.71657154,01-05-12,10-06-15,77479,5095,2520
5254800,Scotland,Yorkshire and The Humber,1703767,6.538250862,39.31221604,08-05-12,15-08-15,73648,4973,2504
5254800,Scotland,London,2376384,6.573591401,38.00546981,09-05-12,25-06-15,79842,4446,2613
5254800,Scotland,South West,1649782,6.544294768,39.48173948,09-05-12,12-08-15,65583,4348,2495
5254800,Scotland,East of England,1486973,6.578720126,39.78776262,05-05-12,22-08-15,62314,4019,2475
5254800,Scotland,West Midlands,1529130,6.499936229,38.74870351,20-05-12,29-07-15,59162,3927,2476
5254800,Scotland,East Midlands,1303323,6.575492626,39.25884694,12-05-12,09-08-15,50563,3314,2388
5254800,Scotland,Wales,1132434,6.51534267,39.67637602,05-05-12,20-08-15,48339,3199,2352
5254800,Scotland,North East,853753,6.483780341,39.30724953,11-05-12,13-08-15,36211,2444,2262
5254800,Scotland,Northern Ireland,354436,6.428259391,39.29703821,09-06-12,26-08-15,15288,1055,1819
8652800,South East,South East,11621726,6.427547619,38.61272354,12-05-12,11-07-15,405059,7082,8195
8652800,South East,North West,8535475,6.472236278,38.98124792,15-05-12,03-08-15,331200,6396,7849
8652800,South East,Scotland,6752562,6.361716256,37.98415413,06-05-12,26-06-15,290339,5534,7546
8652800,South East,Yorkshire and The Humber,6735416,6.416383993,38.71266974,05-05-12,15-07-15,279019,5365,7646
8652800,South East,London,9704289,6.463553101,37.7011053,12-05-12,11-06-15,303380,4920,8004
8652800,South East,South West,6602483,6.438320016,38.76177549,16-05-12,23-07-15,249142,4701,7640
8652800,South East,East of England,6017186,6.490325603,39.10867465,04-05-12,19-07-15,235670,4376,7565
8652800,South East,West Midlands,6026293,6.400110714,38.17632093,13-05-12,30-06-15,224678,4236,7598
8652800,South East,East Midlands,4995008,6.471933542,39.10385237,15-05-12,07-08-15,190167,3563,7372
8652800,South East,Wales,4471171,6.452127744,39.1836358,11-05-12,04-08-15,181970,3470,7282
8652800,South East,North East,3501018,6.437704163,39.04627294,21-05-12,08-08-15,138751,2651,7015
8652800,South East,Northern Ireland,1390057,6.375361762,38.46329442,26-05-12,26-07-15,58313,1157,5682
5300800,South West,South East,6166448,6.436646303,38.88001202,11-05-12,23-07-15,216629,6763,4506
5300800,South West,North West,4647748,6.474610677,39.00398145,12-05-12,29-07-15,179538,6139,4302
5300800,South West,Scotland,3603066,6.364017748,38.10746003,10-05-12,07-07-15,155785,5287,4112
5300800,South West,Yorkshire and The Humber,3589759,6.505059092,39.39737112,09-05-12,10-08-15,150437,5139,4170
5300800,South West,London,5222877,6.479470231,37.69690898,17-05-12,23-06-15,162009,4687,4424
5300800,South West,South West,3584220,6.526663481,39.41872246,13-05-12,09-08-15,136213,4452,4214
5300800,South West,East of England,3272974,6.45640782,39.05986607,08-05-12,27-07-15,126978,4179,4116
5300800,South West,West Midlands,3310944,6.401268485,38.48944925,22-05-12,26-07-15,120436,4051,4143
5300800,South West,East Midlands,2750730,6.503582245,39.27848068,13-05-12,18-08-15,103348,3414,4022
5300800,South West,Wales,2412801,6.506246717,39.70334059,09-05-12,19-08-15,98201,3298,3951
5300800,South West,North East,1834053,6.500704726,39.3762031,23-05-12,26-08-15,74058,2527,3813
5300800,South West,Northern Ireland,748696,6.371743291,38.40819896,24-05-12,26-07-15,31509,1086,3004
3063800,Wales,South East,1947737,6.642423062,39.6971596,15-05-12,26-08-15,75033,6302,1881
3063800,Wales,North West,1462615,6.574971088,39.50420721,14-05-12,19-08-15,62254,5807,1808
3063800,Wales,Scotland,1125068,6.552773238,38.78065356,07-05-12,25-07-15,54047,4979,1731
3063800,Wales,Yorkshire and The Humber,1160819,6.526177712,39.73132316,14-05-12,23-08-15,51668,4888,1746
3063800,Wales,London,1595339,6.636969556,38.13112317,29-04-12,13-06-15,55884,4312,1838
3063800,Wales,South West,1131198,6.575185675,39.39929871,06-05-12,05-08-15,46584,4217,1756
3063800,Wales,East of England,966830,6.576579896,39.48355014,01-05-12,05-08-15,43930,3912,1710
3063800,Wales,West Midlands,1036950,6.61276805,39.36548514,21-05-12,14-08-15,41209,3794,1720
3063800,Wales,East Midlands,858358,6.615120794,39.4287665,10-05-12,25-08-15,35356,3226,1703
3063800,Wales,Wales,789822,6.676225814,40.5156851,09-05-12,20-09-15,33997,3132,1665
3063800,Wales,North East,583999,6.483351727,39.08202502,21-05-12,04-08-15,25771,2380,1568
3063800,Wales,Northern Ireland,220910,6.571973362,39.78016,29-05-12,15-09-15,10807,1019,1240
5608700,West Midlands,South East,3277501,6.549597332,40.11241588,07-06-12,24-09-15,110679,6489,2624
5608700,West Midlands,North West,2388386,6.528939842,39.98167156,10-06-12,22-09-15,90157,5963,2559
5608700,West Midlands,Scotland,1873382,6.420735353,39.09407117,03-06-12,23-08-15,78688,5126,2432
5608700,West Midlands,Yorkshire and The Humber,1745311,6.584187911,40.45794751,23-05-12,12-09-15,75167,4974,2470
5608700,West Midlands,London,2763484,6.546465078,38.71569641,29-05-12,03-08-15,82068,4489,2572
5608700,West Midlands,South West,1767179,6.507111815,40.12446315,08-06-12,05-10-15,67888,4314,2437
5608700,West Midlands,East of England,1614029,6.551666741,39.56509395,20-05-12,22-08-15,63912,4026,2396
5608700,West Midlands,West Midlands,1754851,6.54694933,39.38755878,02-06-12,29-08-15,61052,3920,2423
5608700,West Midlands,East Midlands,1446493,6.593328722,40.69129356,11-06-12,28-10-15,51806,3315,2367
5608700,West Midlands,Wales,1264677,6.602043056,41.15993753,02-06-12,26-10-15,49090,3194,2302
5608700,West Midlands,North East,940242,6.485173935,39.82352226,09-06-12,08-09-15,37369,2459,2221
5608700,West Midlands,Northern Ireland,371647,6.274189892,38.95528897,29-06-12,15-09-15,15981,1070,1747
5288200,Yorkshire and The Humber,South East,3154933,6.468143727,38.69407021,28-05-12,29-07-15,119981,6526,2828
5288200,Yorkshire and The Humber,North West,2355817,6.522173113,39.13130634,27-05-12,15-08-15,98330,5938,2714
5288200,Yorkshire and The Humber,Scotland,1745760,6.41611284,37.96907379,21-05-12,04-07-15,85682,5103,2632
5288200,Yorkshire and The Humber,Yorkshire and The Humber,1788410,6.533883883,39.49948754,15-05-12,22-08-15,82732,4984,2680
5288200,Yorkshire and The Humber,London,2688715,6.521475056,37.59769878,15-05-12,04-06-15,88786,4503,2785
5288200,Yorkshire and The Humber,South West,1697169,6.538039086,39.47776335,26-05-12,28-08-15,73718,4320,2628
5288200,Yorkshire and The Humber,East of England,1600036,6.520451901,39.31486642,12-05-12,03-08-15,69823,4042,2599
5288200,Yorkshire and The Humber,West Midlands,1649746,6.474392606,38.50950772,01-06-12,03-08-15,66391,3920,2592
5288200,Yorkshire and The Humber,East Midlands,1333135,6.473510364,39.10703915,31-05-12,28-08-15,56132,3321,2512
5288200,Yorkshire and The Humber,Wales,1226066,6.490545945,39.1049729,20-05-12,17-08-15,53501,3209,2488
5288200,Yorkshire and The Humber,North East,977471,6.527912241,39.53747417,03-06-12,30-08-15,41157,2451,2421
5288200,Yorkshire and The Humber,Northern Ireland,366425,6.415335009,39.18145534,10-06-12,22-08-15,17370,1053,1912
